2020-11-24 10:11:55.750 DEBUG 12696 --- [XNIO-1 task-33] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:12:42.623 DEBUG 12696 --- [XNIO-1 task-36] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:12:42.623 DEBUG 12696 --- [XNIO-1 task-34] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:12:42.623 DEBUG 12696 --- [XNIO-1 task-38] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:12:45.456 DEBUG 12696 --- [XNIO-1 task-42] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:12:45.460 DEBUG 12696 --- [XNIO-1 task-40] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:12:45.460 DEBUG 12696 --- [XNIO-1 task-43] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:13:12.000 DEBUG 12696 --- [XNIO-1 task-47] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:13:12.001 DEBUG 12696 --- [XNIO-1 task-46] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:13:12.001 DEBUG 12696 --- [XNIO-1 task-45] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:13:24.985 DEBUG 12696 --- [XNIO-1 task-50] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:13:24.988 DEBUG 12696 --- [XNIO-1 task-53] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:13:24.988 DEBUG 12696 --- [XNIO-1 task-51] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:20.832 DEBUG 12696 --- [XNIO-1 task-55] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:14:20.836 DEBUG 12696 --- [XNIO-1 task-56] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:20.838 DEBUG 12696 --- [XNIO-1 task-59] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:20.853 DEBUG 12696 --- [XNIO-1 task-57] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:32.639 DEBUG 12696 --- [XNIO-1 task-61] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:14:32.639 DEBUG 12696 --- [XNIO-1 task-66] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:32.640 DEBUG 12696 --- [XNIO-1 task-64] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:32.644 DEBUG 12696 --- [XNIO-1 task-63] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:33.354 DEBUG 12696 --- [XNIO-1 task-67] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:14:33.355 DEBUG 12696 --- [XNIO-1 task-68] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:33.356 DEBUG 12696 --- [XNIO-1 task-69] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:33.360 DEBUG 12696 --- [XNIO-1 task-72] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:55.203 DEBUG 12696 --- [XNIO-1 task-73] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:14:55.206 DEBUG 12696 --- [XNIO-1 task-75] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:55.208 DEBUG 12696 --- [XNIO-1 task-74] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:14:55.208 DEBUG 12696 --- [XNIO-1 task-76] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:15:16.990 DEBUG 12696 --- [XNIO-1 task-78] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:15:16.991 DEBUG 12696 --- [XNIO-1 task-81] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:15:16.992 DEBUG 12696 --- [XNIO-1 task-82] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:15:16.997 DEBUG 12696 --- [XNIO-1 task-84] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:15:30.054 DEBUG 12696 --- [XNIO-1 task-85] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:15:30.055 DEBUG 12696 --- [XNIO-1 task-87] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:15:30.055 DEBUG 12696 --- [XNIO-1 task-86] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:15:30.060 DEBUG 12696 --- [XNIO-1 task-89] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:19:43.891 DEBUG 12696 --- [XNIO-1 task-92] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:19:43.892 DEBUG 12696 --- [XNIO-1 task-94] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:19:43.892 DEBUG 12696 --- [XNIO-1 task-91] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:19:43.897 DEBUG 12696 --- [XNIO-1 task-95] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:11.052 DEBUG 12696 --- [XNIO-1 task-96] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:20:11.053 DEBUG 12696 --- [XNIO-1 task-5] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:11.053 DEBUG 12696 --- [XNIO-1 task-1] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:11.057 DEBUG 12696 --- [XNIO-1 task-2] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:52.078 DEBUG 12696 --- [XNIO-1 task-9] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:20:52.079 DEBUG 12696 --- [XNIO-1 task-8] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:52.080 DEBUG 12696 --- [XNIO-1 task-13] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:52.085 DEBUG 12696 --- [XNIO-1 task-10] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:56.998 DEBUG 12696 --- [XNIO-1 task-11] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:20:57.002 DEBUG 12696 --- [XNIO-1 task-14] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:20:57.003 DEBUG 12696 --- [XNIO-1 task-15] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
